# M_star [M_sun], T_star [K], M_disk [M_sun], alpha, R [au], T_disk [K], Sigma_gas [g/cm^2], eps, afrag [cm], OmegaK [1/s], tgr [s]
6.999999999999999556e-01,4.111000000000000000e+03,3.500000000000000333e-02,1.712657181551969121e-04,1.439431337567213198e+01,1.211265369805110055e+02,4.337135004657787007e+00,8.849478896997872157e-01,1.055571067349011960e+00,3.050213850917980169e-09,3.704691195312280655e+08
8.999999999999998279e-02,2.861000000000000000e+03,4.499999999999999660e-03,1.782779535125188480e-03,6.191418123527698825e-01,2.615887293686515136e+02,9.259400465617744658e+00,6.410210985340622850e-04,7.124524990531441726e-02,1.226037496150489069e-07,1.272400770436437035e+10
7.199999999999999456e-02,2.831000000000000000e+03,3.599999999999999901e-03,3.732126460690544847e-03,3.320233743417616346e+00,1.028345670865628847e+02,1.738355951281795653e+00,2.717278736382252591e-01,1.625613586422939433e-02,8.830411833078449012e-09,4.167588692263727188e+08
1.000000000000000056e-01,2.925000000000000000e+03,5.000000000000000971e-03,2.032510002799769652e-04,1.834850812447675894e+00,1.496670640198025239e+02,4.048257643915277981e+00,7.117556093155723296e-02,5.346195883912900904e-01,2.533182978445973149e-08,5.546289571909812689e+08
1.100000000000000089e+00,4.471000000000000000e+03,5.500000000000000722e-02,7.429069137213729695e-04,4.064028508748388724e+00,2.716904683732357739e+02,2.221530679392488850e+01,9.004084902234021914e-01,3.956427318808716787e-01,2.548759882968824754e-08,4.357440802507356554e+07
8.000000000000000444e-01,4.221000000000000000e+03,4.000000000000000777e-02,2.014205086903867164e-03,4.184233129653306404e-01,7.474073861207436948e+02,1.149917060333559817e+02,5.984438308815801617e-04,2.739903266336566889e-01,6.579439257024741465e-07,2.539731022566255093e+09
1.700000000000000122e-01,3.139000000000000000e+03,8.500000000000000611e-03,1.216644300782472295e-03,9.107584557733250819e+00,8.882364812314575886e+01,1.645316124931740287e+00,2.789114362333123989e-04,5.503010145507895856e-02,2.986670700712750310e-09,1.200456248246674316e+12
8.000000000000000167e-02,2.836000000000000000e+03,4.000000000000000083e-03,6.160868119471905359e-03,6.232196877893652953e+00,7.919902087466554974e+01,1.100416010978872761e+00,6.128708237548507326e-02,8.092255407315306071e-03,3.619519708904713275e-09,4.507960555626968384e+09
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,5.453324852683027438e-05,6.269649622935533628e-01,4.862428363267116538e+02,4.071379691445635274e+01,7.748660231363342366e-01,6.462008405472188244e+00,2.536487859186945664e-07,5.087923748403625563e+06
1.300000000000000044e-01,3.006000000000000000e+03,6.500000000000000569e-03,8.374799099047251295e-05,5.567903637615112533e-01,3.095947042235150093e+02,1.464379513426264801e+01,2.119737652257743660e-02,2.400367535783776152e+00,1.727833179318455667e-07,2.730335880904772282e+08
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,4.929932312685254359e-04,1.462901224959681556e+01,1.135907398404510218e+02,3.657223404138044920e+00,1.556936662241742864e-04,2.412656639132032266e-01,2.756264038306574714e-09,2.330280687040363770e+12
4.000000000000000083e-02,2.731000000000000000e+03,2.000000000000000042e-03,1.624630967015344490e-03,6.171718212755631328e+01,1.966915336865584152e+01,3.934994904603402593e-02,4.919229120271503830e-01,4.885376647054275046e-03,8.212749212449524926e-11,2.475223318822604752e+10
